list_id,attribute_id,attribute_value
102790428,pet_breed,Chó Phốc Sóc
102790428,pet_age,Chó con (dưới 3 tháng tuổi)
119804165,pet_breed,Chó Corgi
119804165,pet_age,Chó con (dưới 3 tháng tuổi)
121544028,pet_breed,Chó Phốc Sóc
121544028,pet_age,Chó con (dưới 3 tháng tuổi)
121933871,pet_breed,Chó Poodle
121933871,pet_age,Chó con (dưới 3 tháng tuổi)
122668352,pet_breed,Mèo Anh Lông Dài
122668352,pet_age,Mèo nhỏ (dưới 1 năm tuổi)
123692397,pet_breed,Chó Corgi
123692397,pet_age,Chó con (dưới 3 tháng tuổi)
124675395,pet_breed,Chó Corgi
124675395,pet_age,Chó con (dưới 3 tháng tuổi)
126630778,pet_breed,Chó Phốc Sóc
126630778,pet_age,Chó con (dưới 3 tháng tuổi)
127248336,pet_breed,Chó Corgi
127248336,pet_age,Chó con (dưới 3 tháng tuổi)
129101405,pet_breed,Chó Corgi
129101405,pet_age,Chó con (dưới 3 tháng tuổi)
130749520,pet_breed,Chó Becgie
130749520,pet_age,Chó con (dưới 3 tháng tuổi)
131018120,condition_ad,Đã sử dụng
131730256,pet_breed,Chó Alaska
131730256,pet_age,Chó con (dưới 3 tháng tuổi)
131805324,pet_breed,Mèo Scottish
131805324,pet_age,Mèo trưởng thành (hơn 1 tuổi)
132115044,pet_breed,Mèo Anh Lông Ngắn
132115044,pet_age,Mèo con (dưới 3 tháng tuổi)
132269122,pet_breed,Chó Rottweiler
132269122,pet_age,Chó con (dưới 3 tháng tuổi)
132403449,pet_breed,Mèo Golden
132403449,pet_age,Mèo trưởng thành (hơn 1 tuổi)
132443278,pet_breed,Mèo Ta
132443278,pet_age,Mèo con (dưới 3 tháng tuổi)
132549028,pet_breed,Khác
132549028,pet_age,Mèo con (dưới 3 tháng tuổi)
132567167,pet_breed,Khác
132567167,pet_age,Chó trưởng thành (hơn 1 tuổi)
132648380,pet_breed,Chó Phốc Sóc
132648380,pet_age,Chó con (dưới 3 tháng tuổi)
132668314,pet_breed,Chó Corgi
132668314,pet_age,Chó con (dưới 3 tháng tuổi)
132700462,pet_breed,Chó Poodle
132700462,pet_age,Chó con (dưới 3 tháng tuổi)
132725505,pet_breed,Khác
132725505,pet_age,Mèo nhỏ (dưới 1 năm tuổi)
132789882,pet_breed,Chó Phú Quốc
132789882,pet_age,Chó nhỏ (dưới 1 năm tuổi)
132807836,pet_breed,Khác
132807836,pet_age,Chó nhỏ (dưới 1 năm tuổi)
132816585,pet_breed,Chó Alaska
132816585,pet_age,Chó con (dưới 3 tháng tuổi)
132824016,pet_breed,Chó Mông Cộc
132824016,pet_age,Chó nhỏ (dưới 1 năm tuổi)
132825919,pet_breed,Chó Corgi
132825919,pet_age,Chó con (dưới 3 tháng tuổi)
132826302,pet_breed,Mèo Anh Lông Ngắn
132826302,pet_age,Mèo nhỏ (dưới 1 năm tuổi)
132828987,pet_breed,Mèo Anh Lông Ngắn
132828987,pet_age,Mèo con (dưới 3 tháng tuổi)
132830382,pet_breed,Mèo Anh Lông Dài
132830382,pet_age,Mèo con (dưới 3 tháng tuổi)
132839474,pet_breed,Chó Phốc Hươu
132839474,pet_age,Chó trưởng thành (hơn 1 tuổi)
132840273,pet_breed,Khác
132840273,pet_age,Mèo con (dưới 3 tháng tuổi)
132842342,pet_breed,Giống Gà Khác
132842342,pet_age,Gà con (dưới 3 tháng tuổi)
132842602,condition_ad,Đã sử dụng
132842769,pet_breed,Chim Vành Khuyên
132842769,pet_age,Chim lớn (từ 3 tháng tuổi)
132842791,pet_breed,Chim Cu Gáy
132842791,pet_age,Chim non (dưới 3 tháng tuổi)
132842960,pet_breed,Mèo Ragdoll
132842960,pet_age,Mèo con (dưới 3 tháng tuổi)
132843181,pet_breed,Mèo Anh Lông Dài
132843181,pet_age,Mèo con (dưới 3 tháng tuổi)
132843228,pet_breed,Chó Cỏ
132843228,pet_age,Chó nhỏ (dưới 1 năm tuổi)
132843323,pet_breed,Mèo Anh Lông Dài
132843323,pet_age,Mèo con (dưới 3 tháng tuổi)
132843339,pet_breed,Mèo Anh Lông Ngắn
132843339,pet_age,Mèo nhỏ (dưới 1 năm tuổi)
132843347,pet_breed,Mèo Golden
132843347,pet_age,Mèo con (dưới 3 tháng tuổi)
132843658,pet_breed,Gà Chọi
132843658,pet_age,Gà lớn (từ 3 tháng tuổi)
132844000,pet_breed,Chim Chào Mào
132844000,pet_age,Chim lớn (từ 3 tháng tuổi)
132844195,pet_breed,Mèo Ta
132844195,pet_age,Mèo nhỏ (dưới 1 năm tuổi)
132844498,pet_breed,Mèo Munchkin
132844498,pet_age,Mèo con (dưới 3 tháng tuổi)
132844736,pet_breed,Chó Corgi
132844736,pet_age,Chó nhỏ (dưới 1 năm tuổi)
132844830,pet_breed,Thú Cưng Khác
132845044,pet_breed,Mèo Ta
132845044,pet_age,Mèo con (dưới 3 tháng tuổi)
132845572,pet_breed,Mèo Anh Lông Ngắn
132845572,pet_age,Mèo con (dưới 3 tháng tuổi)
132846085,condition_ad,Đã sử dụng
132846209,pet_breed,Chim Chào Mào
132846209,pet_age,Chim lớn (từ 3 tháng tuổi)
132846409,pet_breed,Chó Poodle
132846409,pet_age,Chó con (dưới 3 tháng tuổi)
132846416,condition_ad,Mới
132846836,pet_breed,Chim Bồ Câu
132846836,pet_age,Chim lớn (từ 3 tháng tuổi)
91167751,pet_breed,Chó Corgi
91167751,pet_age,Chó con (dưới 3 tháng tuổi)
91279128,pet_breed,Chó Phốc Sóc
91279128,pet_age,Chó con (dưới 3 tháng tuổi)
