list_id,attribute_id,attribute_value
132325868,condition_ad,Đã sử dụng
132325868,itemconsumer,Đồ nam
132338489,condition_ad,Mới
132338489,itemconsumer,Đồ nam
132778198,condition_ad,Mới
132778198,itemconsumer,Cả nam và nữ
132811207,condition_ad,Đã sử dụng
132811207,itemconsumer,Đồ nam
132813566,condition_ad,Mới
132813566,itemconsumer,Đồ nữ
132824620,condition_ad,Đã sử dụng
132824620,itemconsumer,Đồ nữ
132845017,condition_ad,Đã sử dụng
132845017,itemconsumer,Đồ nam
132845030,condition_ad,Đã sử dụng
132845030,itemconsumer,Đồ nam
132845037,condition_ad,Đã sử dụng
132845037,itemconsumer,Đồ nam
132845050,condition_ad,Mới
132845050,itemconsumer,Đồ nữ
132845059,condition_ad,Đã sử dụng
132845059,itemconsumer,Đồ nam
132845073,condition_ad,Đã sử dụng
132845073,itemconsumer,Đồ nam
132845075,condition_ad,Đã sử dụng
132845075,itemconsumer,Đồ nam
132845149,condition_ad,Đã sử dụng
132845149,itemconsumer,Đồ nam
132845175,condition_ad,Đã sử dụng
132845175,itemconsumer,Đồ nam
132845259,condition_ad,Đã sử dụng
132845259,itemconsumer,Đồ nam
132845260,condition_ad,Mới
132845260,itemconsumer,Đồ nữ
132845354,condition_ad,Đã sử dụng
132845354,itemconsumer,Đồ nam
132845419,condition_ad,Đã sử dụng
132845419,itemconsumer,Đồ nam
132845455,condition_ad,Mới
132845455,itemconsumer,Đồ nam
132845468,condition_ad,Mới
132845468,itemconsumer,Đồ nam
132845476,condition_ad,Đã sử dụng
132845476,itemconsumer,Cả nam và nữ
132845513,condition_ad,Mới
132845513,itemconsumer,Đồ nam
132845545,condition_ad,Đã sử dụng
132845545,itemconsumer,Đồ nữ
132845549,condition_ad,Mới
132845549,itemconsumer,Đồ nữ
132845587,condition_ad,Đã sử dụng
132845587,itemconsumer,Đồ nữ
132845601,condition_ad,Đã sử dụng
132845601,itemconsumer,Đồ nam
132845613,condition_ad,Mới
132845613,itemconsumer,Đồ nam
132845632,condition_ad,Mới
132845632,itemconsumer,Đồ nam
132845653,condition_ad,Đã sử dụng
132845653,itemconsumer,Đồ nam
132845658,condition_ad,Đã sử dụng
132845658,itemconsumer,Đồ nam
132845676,condition_ad,Đã sử dụng
132845676,itemconsumer,Đồ nam
132845738,condition_ad,Đã sử dụng
132845738,itemconsumer,Đồ nam
132845740,condition_ad,Đã sử dụng
132845740,itemconsumer,Đồ nữ
132845800,condition_ad,Mới
132845800,itemconsumer,Đồ nam
132845835,condition_ad,Đã sử dụng
132845835,itemconsumer,Đồ nam
132845865,condition_ad,Mới
132845865,itemconsumer,Đồ nam
132845892,condition_ad,Đã sử dụng
132845892,itemconsumer,Đồ nam
132845910,condition_ad,Đã sử dụng
132845910,itemconsumer,Đồ nam
132845930,condition_ad,Đã sử dụng
132845930,itemconsumer,Đồ nam
132846046,condition_ad,Mới
132846046,itemconsumer,Đồ nam
132846096,condition_ad,Đã sử dụng
132846096,itemconsumer,Đồ nam
132846104,condition_ad,Đã sử dụng
132846104,itemconsumer,Cả nam và nữ
132846148,condition_ad,Đã sử dụng
132846148,itemconsumer,Cả nam và nữ
132846205,condition_ad,Đã sử dụng
132846205,itemconsumer,Đồ nam
132846252,condition_ad,Đã sử dụng
132846252,itemconsumer,Đồ nam
132846367,condition_ad,Mới
132846367,itemconsumer,Đồ nam
132846394,condition_ad,Đã sử dụng
132846394,itemconsumer,Cả nam và nữ
132846594,condition_ad,Đã sử dụng
132846594,itemconsumer,Đồ nữ
132846644,condition_ad,Mới
132846644,itemconsumer,Đồ nữ
132846653,condition_ad,Đã sử dụng
132846653,itemconsumer,Đồ nữ
132846670,condition_ad,Đã sử dụng
132846670,itemconsumer,Đồ nam
132846683,condition_ad,Đã sử dụng
132846683,itemconsumer,Cả nam và nữ
132846690,condition_ad,Đã sử dụng
132846690,itemconsumer,Đồ nữ
132846738,condition_ad,Mới
132846738,itemconsumer,Đồ nam
132846774,condition_ad,Đã sử dụng
132846774,itemconsumer,Cả nam và nữ
132846776,condition_ad,Đã sử dụng
132846776,itemconsumer,Cả nam và nữ
132846795,condition_ad,Đã sử dụng
132846795,itemconsumer,Cả nam và nữ
132846831,condition_ad,Đã sử dụng
132846831,itemconsumer,Đồ nữ
