list_id,attribute_id,attribute_value
120647505,condition_ad,Đã sử dụng
131815957,condition_ad,Đã sử dụng
132546279,condition_ad,Mới
132673244,condition_ad,Đã sử dụng
132774325,condition_ad,Mới
132828135,condition_ad,Mới
132828314,condition_ad,Mới
132828324,condition_ad,Đã sử dụng
132828675,condition_ad,Đã sử dụng
132828696,condition_ad,Đã sử dụng
132828714,condition_ad,Đã sử dụng
132829202,condition_ad,Đã sử dụng
132829743,condition_ad,Đã sử dụng
132830854,condition_ad,Đã sử dụng
132830924,condition_ad,Đã sử dụng
132830940,condition_ad,Đã sử dụng
132831067,condition_ad,Đã sử dụng
132831088,condition_ad,Mới
132832255,condition_ad,Mới
132832662,condition_ad,Đã sử dụng
132832973,condition_ad,Đã sử dụng
132833355,condition_ad,Đã sử dụng
132833628,condition_ad,Đã sử dụng
132833639,condition_ad,Đã sử dụng
132833749,condition_ad,Đã sử dụng
132834486,condition_ad,Đã sử dụng
132834745,condition_ad,Đã sử dụng
132835376,condition_ad,Đã sử dụng
132835439,condition_ad,Đã sử dụng
132836061,condition_ad,Đã sử dụng
132837225,condition_ad,Đã sử dụng
132837231,condition_ad,Đã sử dụng
132837618,condition_ad,Đã sử dụng
132838320,condition_ad,Đã sử dụng
132838803,condition_ad,Đã sử dụng
132839037,condition_ad,Mới
132839168,condition_ad,Đã sử dụng
132839337,condition_ad,Mới
132839545,condition_ad,Mới
132839665,condition_ad,Đã sử dụng
132840919,condition_ad,Đã sử dụng
132841752,condition_ad,Đã sử dụng
132842577,condition_ad,Đã sử dụng
132842696,condition_ad,Đã sử dụng
132842767,condition_ad,Đã sử dụng
132843606,condition_ad,Mới
132843787,condition_ad,Đã sử dụng
132843789,condition_ad,Đã sử dụng
132843865,condition_ad,Đã sử dụng
132844061,condition_ad,Đã sử dụng
132844545,condition_ad,Đã sử dụng
132845286,condition_ad,Đã sử dụng
132845294,condition_ad,Đã sử dụng
132845581,condition_ad,Đã sử dụng
132845806,condition_ad,Đã sử dụng
132846059,condition_ad,Đã sử dụng
132846165,condition_ad,Đã sử dụng
132846392,condition_ad,Đã sử dụng
132846641,condition_ad,Đã sử dụng
132846817,condition_ad,Đã sử dụng
