list_id,attribute_id,attribute_value
105254168,condition_ad,Mới
113280049,condition_ad,Đã sử dụng
131463454,condition_ad,Mới
131495059,condition_ad,Mới
132198568,condition_ad,Mới
132828725,condition_ad,Đã sử dụng
132828725,product_material,Gỗ
132843345,condition_ad,Mới
132843371,condition_ad,Mới
132843433,condition_ad,Mới
132843433,product_type,Chảo
132843502,condition_ad,Đã sử dụng
132843514,condition_ad,Đã sử dụng
132843554,condition_ad,Đã sử dụng
132843554,product_type,Bình giữ nhiệt
132843585,condition_ad,Mới
132843585,product_brand,Khác
132843617,condition_ad,Đã sử dụng
132843617,product_brand,Khác
132843622,condition_ad,Mới
132843622,product_type,Bình giữ nhiệt
132843629,condition_ad,Mới
132843629,product_brand,Khác
132843639,condition_ad,Đã sử dụng
132843639,product_material,Gỗ
132843647,condition_ad,Mới
132843723,condition_ad,Đã sử dụng
132843723,product_brand,Sunhouse
132843734,condition_ad,Đã sử dụng
132843734,product_type,Khác
132843936,condition_ad,Đã sử dụng
132844005,condition_ad,Đã sử dụng
132844005,product_brand,Khác
132844087,condition_ad,Đã sử dụng
132844087,product_brand,Khác
132844125,condition_ad,Đã sử dụng
132844125,product_brand,Kangaroo
132844169,condition_ad,Đã sử dụng
132844169,product_brand,Khác
132844174,condition_ad,Đã sử dụng
132844174,product_material,Nhựa
132844293,condition_ad,Mới
132844293,product_brand,Sunhouse
132844565,condition_ad,Đã sử dụng
132844565,product_brand,Khác
132844629,condition_ad,Đã sử dụng
132844629,product_material,Gỗ
132844662,condition_ad,Đã sử dụng
132844662,product_material,Gỗ
132844677,condition_ad,Đã sử dụng
132844711,condition_ad,Đã sử dụng
132844711,product_brand,Boss
132844723,condition_ad,Đã sử dụng
132844839,condition_ad,Đã sử dụng
132844839,product_brand,Sharp
132844902,condition_ad,Đã sử dụng
132844922,condition_ad,Đã sử dụng
132844922,product_type,Bình giữ nhiệt
132844989,condition_ad,Đã sử dụng
132844989,product_brand,Khác
132845126,condition_ad,Đã sử dụng
132845126,product_brand,Khác
132845229,condition_ad,Đã sử dụng
132845229,product_brand,Khác
132845337,condition_ad,Đã sử dụng
132845337,product_brand,Electrolux
132845346,condition_ad,Đã sử dụng
132845394,condition_ad,Đã sử dụng
132845817,condition_ad,Đã sử dụng
132845817,product_type,Khác
132845878,condition_ad,Đã sử dụng
132846076,condition_ad,Đã sử dụng
132846093,condition_ad,Đã sử dụng
132846093,product_material,Vải
132846182,condition_ad,Đã sử dụng
132846182,product_material,Da
132846204,condition_ad,Đã sử dụng
132846204,product_brand,Hitachi
132846234,condition_ad,Mới
132846291,condition_ad,Đã sử dụng
132846291,product_brand,Hitachi
132846298,condition_ad,Đã sử dụng
132846298,product_brand,Khác
132846334,condition_ad,Đã sử dụng
132846334,product_material,Gỗ
132846414,condition_ad,Đã sử dụng
132846438,condition_ad,Đã sử dụng
132846438,product_type,Khác
132846449,condition_ad,Đã sử dụng
132846449,product_brand,Mitsubishi
132846532,condition_ad,Mới
132846598,condition_ad,Đã sử dụng
132846598,product_size,Giường đôi 1.6m x 2m
132846631,condition_ad,Đã sử dụng
132846631,product_brand,Khác
132846643,condition_ad,Đã sử dụng
132846643,product_brand,Khác
132846682,condition_ad,Đã sử dụng
132846682,product_brand,Khác
